Samples	OTUhits	OTUs	percentOTUs	Readshit	Reads	percentReads	EnvirTypes	ace	chao1	shannon	simpson	goods_coverage	observed_otus
ERR1547131	0	335	0	0	10186	0	NSS	4819.0545121	4774.01878612717	9.26149569449	0.991503026247	0.873300068486	2298
ERR1547132	0	343	0	0	10164	0	NSS	4631.97007615	4608.12429378531	9.17704026864	0.990255819225	0.876512840697	2264
ERR1547136	0	349	0	0	10180	0	NSS	4552.79580484	4347.02896725441	9.52557469535	0.995323568943	0.877707006369	2314
ERR1547138	0	369	0	0	10127	0	NSS	4472.34128481	4437.73424657534	9.38575753746	0.992753481421	0.878706734107	2273
ERR1547145	0	342	0	0	10182	0	NSS	4590.0025567	4448.42857142857	9.15369490893	0.990748389609	0.877449059561	2256
ERR1547173	0	252	0	0	10201	0	NSS	2678.59705599	2840.06313131313	8.15514447692	0.984265742702	0.928767123288	1426
ERR1547175	0	240	0	0	10226	0	NSS	2289.16558545	2315.3216080402	7.88671707485	0.978757927905	0.938082028928	1281
ERR1547182	0	256	0	0	10218	0	NSS	2341.31258479	2527.75515463918	8.13871735099	0.98436219315	0.936351192804	1370
ERR1558020	0	362	0	0	10160	0	NSS	4343.90708675	4304.17621776504	9.34579421941	0.995020555449	0.877683064599	2186
ERR1558032	0	320	0	0	10198	0	NSS	4459.1530337	4434.28006329114	9.15624197885	0.992920208753	0.883559636612	2142
ERR1558034	0	311	0	0	10184	0	NSS	3446.06977595	3349.10847457627	8.82130122007	0.992683009026	0.90939334638	1784
ERR1558037	0	444	0	0	10197	0	NSS	1950.93025814	1994.50393700787	8.8467311606	0.993449476021	0.946402349486	1424
ERR1558054	0	494	0	0	10195	0	NSS	3049.80932107	3161.01423487544	9.22236660485	0.995006701518	0.917417711599	1819
ERR1558058	0	508	0	0	10168	0	NSS	1517.26291801	1600.04188481675	8.41369405024	0.987618994622	0.964078908627	1200
ERR1558061	0	461	0	0	10177	0	NSS	3537.66905812	3536.49525316456	9.17574636012	0.993911276586	0.905009312812	1936
ERR1558077	0	593	0	0	10154	0	NSS	3811.5367307	3648.55099150142	9.25405840571	0.994288348187	0.898101018011	2058
ERR1558084	0	535	0	0	10138	0	NSS	4370.65459825	4212.55125	9.65501056794	0.996082379074	0.881752111569	2317
ERR1558764	0	265	0	0	10219	0	NSS	3355.18597173	3162.61524163569	8.70644499231	0.992565441132	0.91376953125	1677
ERR1558771	0	336	0	0	10182	0	NSS	5032.69140072	4880.68170103093	9.4639162688	0.994953126	0.866568914956	2406
ERR1559040	0	567	0	0	10048	0	NSS	5574.34474176	5377.88535645472	10.2301734348	0.994730052948	0.84736328125	2968
ERR1559043	0	583	0	0	10074	0	NSS	4719.12589536	4484.00416666667	9.46876075832	0.980322881722	0.870084132264	2589
ERR1559046	0	540	0	0	10034	0	NSS	5209.22879402	5119.92156862745	9.88547893597	0.990973333162	0.857422065865	2751
ERR1559052	0	578	0	0	10068	0	NSS	4895.78716185	4768.63010752688	9.96298210543	0.992896250367	0.865395894428	2696
ERR1559058	0	555	0	0	10069	0	NSS	4581.28603079	4557.3631840796	9.68622404301	0.991155180271	0.875097732604	2479
ERR1559059	0	538	0	0	10057	0	NSS	4381.6555072	4366.2	9.60230394806	0.991320989949	0.880887238616	2380
ERR1559061	0	568	0	0	9915	0	NSS	5904.54022125	5706.20233463035	10.2124536303	0.993827996101	0.83953874719	3032
ERR1559067	0	530	0	0	10035	0	NSS	4688.60149836	4715.49496221662	9.77214399039	0.991170406342	0.8724609375	2518
ERR1559071	0	538	0	0	10054	0	NSS	4337.79003056	4323.32421875	9.37707141719	0.986062819609	0.881725689689	2341
ERR1559074	0	546	0	0	10046	0	NSS	5150.49294119	4934.91379310345	9.76278244128	0.990304494851	0.860176125245	2669
ERR1559075	0	511	0	0	10062	0	NSS	4763.24935653	4559.86902050114	9.53927073318	0.987663536072	0.870703125	2518
ERR1559076	0	490	0	0	10097	0	NSS	4568.32498406	4345.52941176471	9.2992210264	0.98376630581	0.8756107094	2409
ERR1559080	0	575	0	0	10047	0	NSS	5084.44897089	4873.71747572816	9.92602409209	0.99018452604	0.859321536807	2806
ERR1559081	0	531	0	0	9976	0	NSS	5446.32121969	5108.26802218115	9.81114931444	0.987226419177	0.850474606126	2882
ERR1559082	0	522	0	0	9964	0	NSS	5174.48599747	4904.62321792261	9.44566603398	0.978515708813	0.858722238529	2705
ERR1559084	0	583	0	0	9979	0	NSS	5341.97133961	5052.09180035651	10.0935096894	0.992613273681	0.851960496724	2942
ERR1559090	0	564	0	0	9981	0	NSS	5148.08658886	4954.9	9.74155431097	0.986360224504	0.857617836886	2776
ERR1559092	0	523	0	0	10008	0	NSS	4966.93658075	4868.33733624454	9.83596131639	0.989988956334	0.863449892557	2689
ERR1559093	0	542	0	0	10065	0	NSS	4677.71803709	4407.11758691207	9.51408441604	0.98164422123	0.871667154996	2600
ERR1559095	0	606	0	0	9997	0	NSS	5234.23680682	5059.60092592593	10.0374209988	0.990712776705	0.853398533007	2921
ERR1559101	0	524	0	0	10016	0	NSS	4485.48491545	4482.50839328537	9.67141711866	0.990319453473	0.876611957796	2500
ERR1559104	0	505	0	0	10059	0	NSS	4498.83027753	4397.07441860465	9.37699640524	0.984016104635	0.875842531992	2473
ERR1559116	0	483	0	0	10012	0	NSS	5031.3860004	4872.51677148847	9.53058370319	0.983429867365	0.860826252564	2702
ERR1559219	0	625	0	0	10019	0	NSS	3656.08776995	3588.0243902439	9.49971599348	0.988994335951	0.899061032864	2256
ERR1559234	0	524	0	0	10070	0	NSS	4988.20942853	4907.61818181818	9.36715470665	0.978913139024	0.862863840594	2631
ERR1559247	0	546	0	0	10045	0	NSS	4680.88658275	4467.2067209776	9.95647915292	0.993321113586	0.87138671875	2663
